2023-03-08 18:57:39.661 [info] Log level: Info
2023-03-08 18:57:39.661 [info] Validating found git in: "git"
2023-03-08 18:57:39.661 [info] Using git "2.39.2" from "git"
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [2ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [2ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [2ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [4ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [11ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [5ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [5ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.661 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.666 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.669 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.672 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.675 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.678 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.698 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:39.730 [info] > git rev-parse --show-toplevel [2ms]
2023-03-08 18:57:39.823 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:39.962 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:57:49.760 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:49.778 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:49.782 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:51.205 [info] > git rev-parse --show-toplevel [2ms]
2023-03-08 18:57:51.220 [info] > git rev-parse --show-toplevel [0ms]
2023-03-08 18:57:51.369 [info] > git rev-parse --show-toplevel [147ms]
2023-03-08 18:57:54.421 [info] > git rev-parse --show-toplevel [1ms]
2023-03-08 18:58:16.381 [info] > git rev-parse --show-toplevel [0ms]
